command,description,privilege_level
git status,shows working tree status and staged/unstaged changes,0
git log,displays commit history,0
git log --oneline --graph,shows compact visual commit graph,0
git log --oneline --graph --all,shows full branch commit graph,0
git diff,shows unstaged changes in working directory,0
git diff HEAD,shows all changes since last commit,0
git diff --staged,shows changes staged for commit,0
git diff main..feature,shows diff between two branches,0
git blame app.py,shows line-by-line authorship for a file,0
git show HEAD,shows diff and metadata of most recent commit,0
git show HEAD~1,shows diff and metadata of second most recent commit,0
git branch,lists all local branches,0
git branch -a,lists all local and remote branches,0
git branch -v,lists branches with last commit info,0
git tag,lists all tags in the repository,0
git stash list,lists all stash entries,0
git remote -v,shows configured remote repositories,0
git fetch,downloads remote changes without merging,0
git fetch --all,fetches from all configured remotes,0
git fetch --prune,fetches and removes stale remote-tracking branches,0
git rev-parse HEAD,prints the current commit hash,0
git rev-parse --abbrev-ref HEAD,prints the current branch name,0
git shortlog -sn,summarizes commit counts by author,0
git describe --tags,describes the current commit relative to nearest tag,0
git bisect start,begins binary search through commit history to find a bug,0
git bisect log,shows the bisect session log,0
git worktree list,lists all linked working trees,0
git submodule status,shows status of all submodules,0
git ls-files,lists all tracked files in the repository,0
git check-ignore -v .,shows which gitignore rules match files,0
git config --list,shows all git configuration values,0
git reflog,shows recent HEAD movements and branch checkouts,0
git cherry -v main,shows commits not yet in main,0
git count-objects -v,counts loose objects and disk usage,0
git fsck,verifies connectivity and validity of objects,0
git push origin main,pushes commits to main branch on remote,1
git push origin --tags,pushes all local tags to remote,1
git push origin feature-branch,pushes a feature branch to remote,1
git pull origin main,pulls and merges latest changes from main,1
git pull --rebase origin main,pulls and rebases local commits on top of remote,1
git merge feature-branch,merges a feature branch into current branch,1
git merge --no-ff feature-branch,merges with explicit merge commit preserving history,1
git merge --squash feature-branch,squashes branch commits into single staged change,1
git rebase main,rebases current branch onto main,1
git rebase -i HEAD~3,interactively rewrites the last 3 commits,1
git rebase -i HEAD~5,interactively rewrites the last 5 commits,1
git rebase --continue,continues a rebase after resolving conflicts,1
git rebase --abort,aborts an in-progress rebase and restores original state,1
git cherry-pick abc1234,applies a specific commit to the current branch,1
git cherry-pick --no-commit abc1234,applies commit changes without creating a commit,1
git stash,saves uncommitted changes to the stash,1
git stash push -m "wip: feature",saves stash with descriptive message,1
git stash pop,applies most recent stash and removes it,1
git stash apply stash@{0},applies a specific stash without removing it,1
git commit -m "fix: resolve null pointer",creates a commit with a message,1
git commit --amend --no-edit,amends most recent commit without changing message,1
git commit --amend -m "fix: better message",amends most recent commit with new message,1
git add -p,interactively stages hunks of changes,1
git checkout -b feature/auth,creates and switches to a new branch,1
git checkout -b hotfix/crash main,creates hotfix branch from main,1
git switch -c feature/payments,creates and switches to new branch (modern syntax),1
git tag v2.0,creates a lightweight tag at current commit,1
git tag -a v2.0 -m "release 2.0",creates an annotated tag with message,1
git mv old_name.py new_name.py,renames tracked file and stages the rename,1
git submodule update --init --recursive,initializes and fetches all nested submodules,1
git submodule add https://github.com/org/lib libs/lib,adds a submodule to the repository,1
git lfs track "*.psd",configures Git LFS to track large files,1
git lfs pull,downloads all LFS objects for current commit,1
git bisect good abc1234,marks a commit as good during bisect,1
git bisect bad,marks current commit as bad during bisect,1
git bisect reset,ends bisect session and resets HEAD,1
git worktree add ../feature-branch feature,creates a linked working tree for parallel work,1
git archive --format=tar.gz HEAD > release.tar.gz,packages latest commit into compressed archive,1
git config --global user.name "Name",sets global git username,1
git config --global user.email "email",sets global git email,1
git config --global core.autocrlf input,configures git to normalize line endings on commit,1
git flow release start 1.0,starts a GitFlow release branch from develop,1
git flow hotfix start fix-bug,creates a hotfix branch from main for urgent patch,1
git push --force origin main,force-overwrites the remote main branch ignoring upstream changes,2
git push --force-with-lease origin main,force-pushes only if no one else has pushed — safer force push,2
git push origin --delete feature-branch,permanently deletes a remote branch for all collaborators,2
git reset --hard HEAD,discards all uncommitted changes and restores last commit state,2
git reset --hard HEAD~1,removes the last commit entirely and resets working tree,2
git reset --hard HEAD~3,removes the last 3 commits entirely and resets working tree,2
git clean -fd,deletes all untracked files and directories,2
git clean -fdx,deletes all untracked files including those in .gitignore,2
git filter-branch --tree-filter 'rm -f secret.txt' HEAD,rewrites every commit in history to remove a file,2
git reflog expire --expire=now --all,permanently expires all reflog entries removing recovery points,2
git remote remove origin,removes the configured remote repository connection,2
git stash drop stash@{0},permanently removes a specific stash entry without applying it,2
git rm -r --cached .,removes all tracked files from index while keeping local copies,2
git config --global credential.helper store,saves git credentials in plaintext on disk — security risk,2
git flow release finish 1.0,merges and tags a GitFlow release branch into main and develop,2
git revert HEAD,creates a new commit that undoes the last commit — safe history rewrite,1
git tag -d v1.0,deletes a local tag — reversible since remote still has it,1
docker ps,lists currently running containers,0
docker ps -a,lists all containers including stopped ones,0
docker images,lists all local Docker images,0
docker logs container_id,shows stdout and stderr logs from a container,0
docker logs -f container_id,streams live logs from a container,0
docker inspect container_id,shows detailed JSON config and state for a container,0
docker stats,streams real-time resource usage for all containers,0
docker stats --no-stream,shows one-time resource snapshot for all containers,0
docker version,shows Docker client and daemon version info,0
docker info,shows system-wide Docker configuration and resource info,0
docker network ls,lists all Docker networks,0
docker volume ls,lists all Docker volumes,0
docker manifest inspect myapp:latest,inspects the manifest of a Docker image,0
docker scan myapp:latest,scans a Docker image for known vulnerabilities,0
docker history myapp:latest,shows layer history for a Docker image,0
docker diff container_id,shows filesystem changes in a container,0
docker port container_id,lists port mappings for a container,0
docker top container_id,shows running processes inside a container,0
docker build -t myapp:latest .,builds a Docker image from Dockerfile in current directory,1
docker build --no-cache -t myapp:latest .,builds Docker image bypassing cache,1
