command,description,privilege_level
ls,List directory contents,3
pwd,Print current working directory,3
cat,Display file contents,3
grep,Search text using patterns,3
find,Search for files and directories,3
echo,Print text to stdout,3
cp,Copy files or directories,3
mv,Move or rename files,3
mkdir,Create new directories,3
touch,Create empty files or update timestamps,3
head,Display first lines of a file,3
tail,Display last lines of a file,3
wc,Count lines/words/characters in files,3
sort,Sort lines of text,3
uniq,Remove duplicate lines,3
cut,Remove sections from lines,3
awk,Pattern scanning and processing,3
sed,Stream editor for filtering/transforming text,3
diff,Compare files line by line,3
zip,Create compressed archives,3
unzip,Extract compressed archives,3
tar,Archive files,3
python3,Run Python 3 interpreter,3
pip,Python package installer,3
node,Run Node.js,3
npm,Node package manager,3
java,Run Java programs,3
mvn,Maven build tool,3
gradle,Gradle build tool,3
git,Git version control,3
curl,Transfer data from URLs,3
wget,Download files from web,3
ping,Test network connectivity,3
nslookup,Query DNS,3
netstat,Network statistics,3
ps,Report process status,3
top,Display running processes,3
htop,Interactive process viewer,3
df,Report disk space usage,3
du,Estimate file space usage,3
free,Display memory usage,3
uname,Print system information,3
whoami,Print current user,3
date,Display or set system date,3
history,Show command history,3
man,Display manual pages,3
which,Locate a command,3
chmod,Change file permissions,2
chown,Change file owner and group,2
kill,Send signal to process,2
pkill,Kill processes by name,2
killall,Kill processes by name,2
nice,Run command with modified priority,2
renice,Alter priority of running process,2
nohup,Run command immune to hangups,2
apt,APT package manager,2
apt-get,APT package manager (legacy),2
yum,YUM package manager,2
dnf,DNF package manager,2
brew,Homebrew package manager,2
pip install,Install Python packages,2
npm install,Install Node packages globally,2
systemctl,Control systemd services,2
service,Manage system services,2
crontab,Schedule recurring tasks,2
ssh,Secure shell remote access,2
scp,Secure copy over SSH,2
rsync,Remote file sync,2
docker,Docker container management,2
docker-compose,Multi-container Docker apps,2
kubectl,Kubernetes cluster management,2
useradd,Add new user account,2
usermod,Modify user account,2
groupadd,Add new group,2
ln,Create symbolic or hard links,2
mount,Mount a filesystem,2
umount,Unmount a filesystem,2
ifconfig,Configure network interfaces,2
ip,Network configuration tool,2
sudo,Execute command as superuser,1
su,Switch user account,1
passwd,Change user passwords,1
visudo,Edit sudoers file safely,1
rm -rf,Recursively force-delete files,1
dd,Direct disk copy utility,1
mkfs,Create a filesystem,1
fdisk,Partition table manipulator,1
parted,Partition editor,1
shutdown,Shutdown the system,1
reboot,Reboot the system,1
halt,Halt the system,1
poweroff,Power off the system,1
iptables,Manage firewall rules,1
ufw,Uncomplicated firewall manager,1
firewall-cmd,Firewalld control,1
userdel,Delete user account,1
groupdel,Delete group,1
chroot,Change root directory,1
insmod,Insert kernel module,1
rmmod,Remove kernel module,1
lsmod,List kernel modules,1
